X,Description,Batch,Start Date,Delivery Date,Customer1,Description,Customer2,Responsible,Comms BT02,Comms BT03,BT.St,Material,Prod.Sch,Quantity
false,E42CU029P CLEAR JF71-0312,209632815,30/04/2021,06/05/2021,SMP,Pre-Ensamble,,FALTAN 7 T,,,5,50451263,1,"15,200.00"
false,E10RU034 Cherry Pop TCC,209637491,28/04/2021,06/05/2021,PORA,Entonado QC,,DISPONIBLE,EN AJUSTE CON PRODUCCI‡N,,20,50656260,1,"1,272.60"
false,E126CM027 CLEARCOAT,209669592,30/04/2021,06/05/2021,H. MARYS,Cargando,,DISPONIBLE,,,10,50336366,1,683.913
false,E99RU302R Tigerlily Met,209672339,26/04/2021,06/05/2021,PORA,Entonado Lab Des,OK TONO,DISPONIBLE,,,25,50635806,1,173.397
false,E387GU476F SBBC ERUPN GRN,209559079,30/04/2021,07/05/2021,FORD MAP,Pre-Ensamble,,DISPONIBLE,,,5,50695870,1,819.582
false,E10CU081G 2K4 Component A,209585828,03/05/2021,07/05/2021,GM RAMOS,Pre-Ensamble,,NO HAY TOT,,,5,50510912,1,"15,116.63"
false,E10CU081G-S 2K4 Comp A,209596779,06/05/2021,07/05/2021,GM SILAO,,,,,,,50526252,1,"14,685.08"
false,E211AU628P WA626R Swtchbd,209666249,04/05/2021,07/05/2021,GM RAMOS,,,,,,,50652268,4,"23,903.06"
false,E54WU760T CATALINA WHITE,209509533,04/05/2021,08/05/2021,TESLA,,,,,,,50687887,4,"37,824.17"
false,E211KU504 MIDNIGHT METALLIC,24349115,30/04/2021,08/05/2021,RIVIAN,Cargando,,DISPONIBLE,,,10,50680887,4,"1,957.08"
false,U04AU065P Schiefergrau,209580194,06/05/2021,09/05/2021,SMP,,,,,,,50464011,4,"11,300.00"
false,E10RU034G-S Cherry POP CC,209580543,03/05/2021,10/05/2021,GM SILAO,,,,,,,50653765,1,"6,448.21"
false,U28WU743S Primer Abalone,209610608,05/05/2021,10/05/2021,GM SILAO,,,,,,,50414153,1,"8,072.46"
false,U04AM062M ADBLOC AD PRO,209657963,04/05/2021,10/05/2021,TIER,,,,,,,50344559,1,"3,244.80"
false,E386RU230M 46V SRed C BC2,209484750,05/05/2021,11/05/2021,MAZDA,,,,,,,50507478,1,"3,708.00"
false,E54RU116S PULL ME OVER RD,209509474,06/05/2021,11/05/2021,GM SILAO,,,,,,,50397046,4,"9,002.29"
false,E279KU406 GAT Black Gls,209525746,03/05/2021,11/05/2021,COMPAS,,,,,,,50596479,4,"1,933.42"
false,E211GU035S Unripe Green,209562349,04/05/2021,11/05/2021,GM SILAO,,,,,,,50266056,4,"1,940.00"
false,E98KU405R BLACK,209583176,04/05/2021,11/05/2021,PORA,,,,,,,57323037,1,"3,377.47"
false,E54KU225P WA8555 Black,209613118,08/05/2021,11/05/2021,GM RAMOS,,,,,,,50650646,4,"9,500.00"
false,E279AU604M CP ADV 47C 2BC,209639972,10/05/2021,11/05/2021,MAZDA,,,,,,,50649812,4,"1,854.00"
false,E211KU503S BLACK MEET KTL,209696828,03/05/2021,11/05/2021,GM SILAO,,,,,,,50636658,4,"7,133.63"
false,E180WM008 WHITE HS URETHANE,209525955,11/05/2021,12/05/2021,TIER,,,,,,,50336631,1,"4,810.95"
false,E211AU092P THE DRAKE MET,209526374,05/05/2021,12/05/2021,GM RAMOS,Pre-Ensamble,,NO HAY TOT,,,5,50642669,4,"7,883.25"
false,E54RU116P WA130X PMOR,209526376,11/05/2021,12/05/2021,GM RAMOS,,,,,,,50667196,4,"6,751.80"
false,E98WU310R SUMMIT WHITE,209583172,07/05/2021,12/05/2021,PORA,,,,,,,50390909,1,"5,372.48"
false,E10CU081G-S 2K4 Comp A,209596781,08/05/2021,12/05/2021,GM SILAO,,,,,,,50526252,1,"14,685.08"
false,E279RU302 Rose Gold,209599553,03/05/2021,12/05/2021,DAIMLER,,,,,,,50580819,4,"1,576.67"
false,E54WU310P WA8624 Summit,209613124,05/05/2021,12/05/2021,GM RAMOS,,,,,,,50660341,4,"13,300.00"
false,E42CU028C POC CLEARJF7101,209642897,12/05/2021,12/05/2021,POC,,,,,,,50428136,1,"11,235.43"
false,E387WU459C Space White,209685207,28/04/2021,12/05/2021,FORD CSAP,Entonado QC,,DISPONIBLE,,,20,50650217,1,"2,044.02"
false,N52CG132 HI BAK SPOT CC,209719038,08/05/2021,12/05/2021,GM,,,,,,,50138148,1,150.001
false,E386RU236F SBBC RACE RED,209469897,11/05/2021,13/05/2021,FORD MAP,,,,,,,50616162,1,"3,234.07"
false,E139AU007P POP PLATINUM,209511762,06/05/2021,13/05/2021,POP,Pre-Ensamble,,DISPONIBLE,,,5,50400064,1,"4,700.00"
false,E386YU450F SBBC CYBER GC,209522983,06/05/2021,13/05/2021,FORD MAP,,,,,,,50650432,1,"3,712.33"
false,E387RU444C Lucid Red,209559572,24/04/2021,13/05/2021,FORD CSAP,Entonado QC,,DISPONIBLE,,,20,50660913,1,"1,979.91"
false,E54KU016 BLACK B/C,209580533,11/05/2021,13/05/2021,GM SILAO,,,,,,,56103030,4,"32,256.12"
false,E211RU311S Cherry Pop TC,209640118,06/05/2021,13/05/2021,GM SILAO,,,,,,,50639600,4,"9,772.64"
false,U28AU227F LT GRAY PRIMER,209670332,03/05/2021,13/05/2021,FORD MAP,Pre-Ensamble,,X PROGR,,,5,50573500,1,"7,642.65"
false,E211RU224S DK TOREADOR,209675091,07/05/2021,13/05/2021,GM SILAO,,,,,,,50401570,4,"1,353.71"
false,E180YM050 SCL YLW URE,209716740,04/05/2021,13/05/2021,TBB,,,,,,,50334617,1,"6,703.41"
false,E386WU466F SBBC OXFORD WH,209722851,06/05/2021,13/05/2021,FORD MAP,,,,,,,50573516,1,"7,603.71"
false,E387AU432C SBBC ICONIC,209481579,04/05/2021,14/05/2021,FORD CSAP,,,,,,,50660480,1,"1,931.36"
false,E211AU093P BAE-GE MET,209526372,06/05/2021,14/05/2021,GM RAMOS,Pre-Ensamble,,DISPONIBLE,,,5,50642725,4,"4,181.40"
false,E10CU081G 2K4 Component A,209585831,11/05/2021,14/05/2021,GM RAMOS,,,,,,,50510912,1,"15,116.63"
false,U04AU073C ACC UN102,209657804,12/05/2021,14/05/2021,NISSAN AGS,,,,,,,50526274,1,117
false,E218KU535 Black ColorFuse,209671925,06/05/2021,14/05/2021,RIVIAN,,,,,,,50733790,1,382.706
false,U04AU073M ANTICHIP PRMR,209702503,13/05/2021,14/05/2021,MAZDA,,,,,,,50388296,1,741.6
false,U04AM062H ADH PROM,209702552,12/05/2021,14/05/2021,TIER,,,,,,,53777656,1,"2,973.26"
false,E99YU305R WA628G TRIPP,209734427,20/05/2021,14/05/2021,PORA,,,,,,,50681510,1,208.297
